; Character Name Pointer Table

; Male (Human/Demihuman)
0x8D5C	Abel
0xB48A	Hermes
0xB428	Herrias
0xB459	Herukyna
0xB3EA	Hestia
0xB26E	Hippotes
0xB53B	Hobetol
0xB549	Homonia
0xB532	Hopadamo
0xB27E	Huamos
0xB2B3	Hultakos
0xB19B	Hymon
0xB195	Hymos
0xB265	Hyppasos
0xB29E	Hyuras
0xB285	Hyuzas
0xAAE5	Iamos
0xAAEB	Iante
0xAADF	Iason
0xAB2C	Ibushron
0xAB19	Idomon
0xAB0C	Iidas
0xAB26	Iipis
0xAAFD	Ikaddio
0xAB35	Ilia
0xAB3F	Inferry
0xAB20	Inuus
0xAAF1	Iokas
0xA94F	Ion
0xAAF7	Ioppe
0xAB3A	Iros
0xAB47	Iros(2)
0xAB05	Iskyus
0xAB12	Itiros
0xACC1	Kadomos
0xAD26	Kaldea
0xAD2D	Kalna
0xACEF	Kamerus
0xACE8	Kamupe
0xACE0	Kapeyla
0xACD9	Kapyus
0xAD10	Karis
0xACB3	Karka
0xAD3A	Karon
0xACB9	Kastali
0xACC9	Katills
0xAC9E	Kaukon
0xACA5	Kaunos
0xADF7	Kelmis
0xADE6	Kepalos
0xACAC	Keyess
0xAD75	Kiriks
0xAE0A	Kodros
0xAE04	Koios
0xAE1F	Kokys
0xAE11	Konpe
0xAE17	Korytos
0xADD2	Kraton
0xADCC	Kress
0xADAD	Kriteas
0xADD9	Kronus
0xADB5	Krusah
0xAD5C	Kujkos
0xAD9C	Kuranaus
0xADA5	Kuraros
0xAD7C	Kusantos
0xAD85	Kuteatos
0xAC98	Kyles
0xAD4C	Kyuanne
0xAD6C	Kyuberre
0xAD54	Kyuknos
0xAD63	Kyunorta
0xB7DF	Ladine
0xB805	Lampetos
0xB7FC	Lampsake
0xB7E6	Latinos
0xB7D7	Latinus
0xB7EE	Latna
0xB7A7	Laugoras
0xB813	Laurenti
0xB7A0	Lausus
0xB8D5	Leos
0xB8F0	Lotis
0xB8AD	Lua
0xB5D0	Magnama
0xB5CB	Mahz
0xB5B5	Makalia
0xB5BD	Makaon
0xB5E0	Malaton
0xB5F7	Malmax
0xB5FE	Malone(L)
0xB5E8	Malshuas
0xB5D8	Matutah
0xB5F1	Mauls
0xB5C4	Maulus
0xB59C	Maya(L)
0xB5A1	Mayandos
0xB68C	Megaira
0xB694	Megamede
0xB6B4	Megara
0xB69D	Megareus
0xB6A6	Meges
0xB719	Melagros
0xB710	Melanbus
0xB707	Melaneus
0xB72A	Melope
0xB722	Melopus
0xB6F0	Memunon
0xB6F8	Memupis
0xB6E0	Meneste
0xB6E8	Menoiti
0xB6BB	Mestor
0xB6AC	Mestora
0xB6C2	Metanayla
0xB6D3	Metis
0xB6D9	Metope
0xB6CC	Metuon
0xB60B	Midahs
0xB700	Milani
0xB665	Miletos
0xB628	Minades
0xB612	Minakoh
0xB5AA	Minas
0xB630	Minos
0xB61A	Minuai
0xB621	Minuas
0xB605	Misel
0xB73E	Mobnos
0xB731	Moira
0xB756	Molmo
0xB762	Molossus
0xB745	Monerus
0xB737	Moneta
0xB75C	Moros
0xB74D	Morupeus
0xB636	Mukenaya
0xB683	Mulkibel
0xB656	Multo
0xB67B	Munitos
0xB66D	Musa
0xB672	Musagete
0xB5B0	Myla
0xB63F	Myula
0xB645	Myuline
0xB64D	Myultiro
0xB65C	Myumidon
0xB107	Nakusos
0xB116	Nalkysos
0xB10F	Napaya
0xB0FF	Nauprio
0xB0EF	Naushtos
0xB0F8	Nautes
0xB14C	Nayros
0xB145	Neaira
0xB161	Nemeya
0xB15A	Nessos
0xB153	Nestol
0xB11F	Niove
0xB137	Nires
0xB125	Nisos
0xB172	Nomios
0xB16C	Nonah
0xB168	Nox
0xB13D	Numitol
0xB12B	Nyuks
0xB131	Nyusa
0xAC58	Oddypius
0xAC70	Ogyugos
0xAC61	Oibalos
0xAC69	Okimos
0xAC78	Okushu
0xAC92	Oltia
0xAC7F	Olyshia
0xAC8C	Omega
0xAC87	Opps
0xAC51	Oyakhs
0xB1AC	Paeton
0xB233	Pahn
0xB20D	Palladio
0xB22D	Palos
0xB1E8	Panacaea
0xB238	Pandora(L)
0xB1F1	Paness
0xB1F8	Panopeh
0xB1B3	Paon
0xB200	Papos
0xB21F	Paris
0xB1C5	Pashylaya
0xB1BE	Pashys
0xB1D7	Passkalia
0xB179	Paya
0xB3F1	Pedasos
0xB44F	Pelipanos
0xB4CE	Pelops
0xB3F9	Penates
0xB401	Penia
0xB4E6	Pentele
0xB4DD	Pentiros
0xB407	Pepalotos
0xB47D	Perdyx
0xB421	Periah
0xB3BC	Perias
0xB473	Persephon
0xB46B	Perseus
0xB3CA	Peyleo
0xB3C3	Peytoh
0xB2E6	Phebriles
0xB2F0	Pheronia
0xB309	Phobos
0xAAC8	Piccolo
0xB240	Pielia
0xB256	Pitane
0xB277	Piteus
0xB25D	Pitteus
0xB36E	Plegra
0xB358	Plius
0xB34B	Pluton
0xB543	Pobos
0xB50F	Podalge
0xB51E	Podes
0xB596	Polte
0xB56A	Polukaon
0xB584	Polydama
0xB57C	Polykso
0xB558	Polyphon
0xB58D	Polyubos
0xB561	Polyudeu
0xB573	Polyukse
0xB517	Potiti
0xB1A1	Poul
0xB375	Preutis
0xB37D	Procne
0xB384	Procris
0xB3AC	Promios
0xB3A4	Pronyme
0xB38C	Prosbyna
0xB395	Proteus
0xB39D	Protos
0xB33D	Pryksos
0xB334	Pulyamos
0xB31E	Pupeh
0xB324	Purashios
0xB316	Putonos
0xB17E	Pyaks
0xB18E	Pydora
0xB24B	Pyks
0xB184	Pyos
0xB2CB	Pyryura
0xB250	Pysos
0xB2BC	Pyulene
0xB295	Pyurakos
0xB2A5	Pyuria
0xB2AC	Pyuris
0xB2C4	Pyuros
0xB28C	Pyutaros
0xB247	Pyx
0xB80E	Raal
0xB7CF	Radaman
0xB789	Raios
0xB78F	Rairapps
0xB7C7	Rakesis
0xB7C0	Rakios
0xB7B0	Raodame
0xB7B8	Raoduke
0xB7F4	Rapides
0xB798	Rawelna
0xB8BF	Reamon
0xB81C	Regeus
0xB8E1	Regorio
0xB8E9	Reriks
0xB8CF	Reuke
0xB8C6	Reukippo
0xB8DA	Reukon
0xB8B1	Rhea
0xB8B6	Rheadros
0xB84A	Ribenti
0xB839	Ribitina
0xB842	Ribyuke
0xB823	Rikyunio
0xB833	Rinos
0xB82C	Rituel
0xB8FD	Rodos
0xB8F6	Romrus
0xB852	Ryuaios
0xB85A	Ryukaon
0xB862	Ryukasto
0xB874	Ryukeios
0xB884	Ryukopro
0xB87D	Ryukos
0xB86B	Ryukulgo
0xB88D	Ryulome
0xB89E	Ryumpa
0xB8A5	Ryunkos
0xB895	Ryushipe
0xAE44	Salambo
0xAE3C	Salamys
0xAE4C	Salios
0xAE34	Satiros
0xAF1A	Selene
0xAF09	Semeleh
0xAF02	Semira
0xAEEB	Seyline
0xAE83	Shakonu
0xAE7B	Shibule
0xAE64	Shidde
0xAE53	Shikyon
0xAEAA	Shilos
0xAEA2	Shiluon
0xAE6B	Shinoppe
0xAE8B	Shubalis
0xAE9A	Shuleus
0xAE94	Shume
0xAE74	Shynis
0xAE5B	Sishupos
0xAEC1	Skyula
0xAEB8	Skyupios
0xAF27	Solu
0xAEE5	Spynk
0xAEDE	Spyros
0xAEC8	Stapyulo
0xAED1	Stennel
0xAED9	Styx
0xAEB1	Swadda
0xAF87	Talkon
0xAFA0	Talpyos
0xAF97	Taltaros
0xAF77	Tamyulis
0xAF5C	Tanots
0xAF4A	Tans
0xAFA8	Tantalas
0xAF63	Tapios
0xAF80	Taraos
0xAF4F	Tatius
0xB024	Techtamo
0xB089	Telbussa
0xB06E	Telkines
0xB067	Telkis
0xB080	Telksion
0xB0A9	Telpassa
0xB045	Teness
0xB01C	Teopane
0xB03C	Tessaros
0xB035	Testol
0xB05A	Teubon
0xB053	Teukey
0xB00B	Teukros
0xB061	Teuro
0xB013	Teutaros
0xB04C	Teutia
0xAFC5	Tiah
0xAFCA	Tiahs
0xAFD0	Tianehra
0xAFE6	Tispeh
0xB0B2	Toas
0xB0CC	Toramedes
0xB0D6	Torios
0xB0C4	Toromos
0xB0B7	Tousa
0xAB53	Uenus
0xAB4C	Uester
0xAB59	Upis
0xAB5E	Urania
0xAB65	Uranus
0xB189	Vyon
0xAF21	Xeros
0xB76B	Yanus
0xB771	Yuenta
0xB781	Yupitel
0xB778	Yustitia
0xAE2C	Zagleus
0xAEF3	Zetanks
0xAEFB	Zettos

; Special Characters
0xB99D	Aisha
0xB9FF	Albeleo
0xB956	Apros
0xB9FA	Ares
0xB992	Ashe
0xB9BC	Canopus
0xB940	Castor
0xB95C	Debonair
0xB983	Debonair(2)
0xB9E7	Deneb
0xB947	Deuces
0xB90B	Diablo
0xB912	Diablo(2)
0xB919	Diablo(3)
0xB920	Endora
0xBA23	Fenril
0xB965	Figaro
0xB98C	Fogel
0xBA2A	Galf
0xB92E	Gares
0xB934	Gares(2)
0xB93A	Gares(3)
0xB9D0	Gilbert
0xB927	Hikash
0xB9D8	Kapella
0xB9AB	Lans
0xB96C	Luvalon
0xB9B0	Lyon
0xBA07	Mizal
0xB9F5	Norn
0xBA0D	Omicron
0xB9ED	Porkyus
0xB974	Previa
0xBA15	Prochon
0xB94E	Randals
0xB903	Rashidi
0xB997	Rauny
0xB9A3	Saradin
0xB9E0	Sirius
0xBA1D	Slust
0xB97B	Tristan
0xB9CB	Usar
0xB9B5	Warren
0xB9C4	Yushis
